review,label
PRIALT,1
EMEA / H / C / 551,0
Qu ’ est ce que Prialt ?,1
"Prialt est une solution pour perfusion contenant le principe actif ziconotide , à des concentrations de 100 ou 25 microgrammes par millilitre .",1
Dans quel cas Prialt est - il utilisé ?,1
"Prialt est indiqué pour le traitement des douleurs intenses , chroniques ( de long terme ) chez les patients nécessitant une analgésie intrarachidienne ( injection dans l ’ espace qui entoure la moelle épinière et le cerveau ) .",1
"Comme le nombre de patients souffrant de douleurs chroniques nécessitant une analgésie intrarachidienne ( analgésiques injectés directement dans la moelle ) est limité , la maladie est considérée comme « rare » et Prialt a reçu la désignation de « médicament orphelin » ( médicament utilisé pour les maladies rares ) le 9 juillet 2001 .",1
Comment Prialt est - il utilisé ?,1
Le traitement par Prialt ne doit être réalisé que par un médecin ayant l ’ expérience de l ’ administration de médicaments par voie intrarachidienne .,1
Prialt doit être administré en perfusion continue très lente par l ’ intermédiaire d ’ un cathéter intrarachidien ( tube inséré dans le canal rachidien ) avec une pompe à perfusion pouvant délivrer un volume de perfusion précis .,1
"Lorsque les doses nécessaires de Prialt sont faibles , par exemple au début du traitement , il peut s",1
"La dose peut être augmentée par intervalles de 1 à 2 jours , voire plus , pour obtenir le meilleur équilibre entre le soulagement de la douleur et les effets indésirables éventuels .",1
"La plupart des patients nécessitent des doses inférieures à 9 , 6 microgrammes par jour .",1
"La dose quotidienne maximale est de 21 , 6 microgrammes par jour .",0
Prialt ne doit pas être utilisé chez l ’ enfant .,1
Comment Prialt fonctionne - t - il ?,1
"Le principe actif de Prialt , le ziconotide , est une copie d ’ une substance naturelle , un oméga - conopeptide , extraite du venin d ’ un type de limace de mer .",1
Le ziconotide agit en se fixant à des canaux spéciaux ( les canaux calciques ) à la surface des cellules nerveuses qui transmettent les signaux de la douleur .,1
"En bloquant le flux de calcium dans les cellules nerveuses , le ziconotide interfère avec la transmission des signaux de douleur dans la moelle et permet de soulager la douleur .",1
"La troisième étude portait sur l ’ utilisation du médicament pendant 3 semaines chez des patients adultes atteints de douleurs intenses , chroniques .",1
"Dans les trois études , la principale mesure d ’ efficacité était le changement du score d ’ intensité de la douleur sur l ’ échelle visuelle analogique ( EVA ) .",1
Quels ont été les bénéfices démontrés par Prialt au cours des études ?,1
Prialt a été plus efficace que le placebo dans les deux premières études .,1
"Avant le traitement , les patients avaient des scores d ’ intensité de la douleur sur l",1
"Les effets indésirables les plus courants ( observés chez plus d ’ un patient sur 10 ) sont un état confusionnel , des sensations vertigineuses , un nystagmus ( mouvement oculaire incontrôlé ) , des troubles mnésiques ( perte de mémoire ) , des céphalées , une somnolence ( endormissement ) , un flou visuel , des nausées ( mal au c œ ur ) , des vomissements , des troubles de la démarche ( difficulté pour marcher ) et une asthénie ( faiblesse ) .",1
"Pour une description complète des effets indésirables observés sous Prialt , veuillez vous reporter à la notice .",1
Prialt ne doit pas être utilisé chez les patients pouvant présenter une hypersensibilité ( allergie ) au ziconotide ou à l ’ un des autres ingrédients .,1
Prialt ne doit pas être utilisé chez des patients sous chimiothérapie intrarachidienne ( anti - cancéreux injectés dans le canal rachidien ) .,1
Pourquoi Prialt a - t - il été approuvé ?,1
"Le comité des médicaments à usage humain ( CHMP ) a estimé que Prialt était une alternative aux autres analgésiques intrarachidiens , comme les opioïdes .",1
Quelles sont les informations que l ’ on attend encore au sujet de Prialt ?,1
"La société qui fabrique Prialt réalise actuellement une étude sur l ’ utilisation à long terme du médicament , portant en particulier sur la possibilité d ’ un développement de la tolérance au traitement ( lorsque des doses d ’ un médicament qui étaient efficaces deviennent au fur et à mesure moins efficaces ) .",1
Autres informations relatives à Prialt :,1
Le dossier de désignation de Prialt comme médicament orphelin est disponible à l ’ adresse suivante : ici .,1
L ’ EPAR complet est disponible à l ’ adresse suivante : ici .,0
Prialt,1
1 ml ( 100 μ g / ml ),0
2 ml ( 100 μ g / ml ),0
5 ml ( 100 μ g / ml ),0
25 μ g / ml,0
20 ml ( 25 μ g / ml ),0
"Prialt 100 microgrammes / ml , solution pour perfusion .",1
Un ml de solution contient 100 μ g de ziconotide ( sous forme d,1
"Solution transparente et incolore , exempte de particules visibles .",1
"Le ziconotide est indiqué pour le traitement des douleurs intenses , chroniques chez les patients nécessitant une analgésie intrarachidienne .",1
Le traitement par ziconotide ne doit être réalisé que par des médecins ayant l ’ expérience de l ’ administration de médicaments par voie intrarachidienne .,1
Prialt est exclusivement destiné à l,1
Adultes ( y compris sujets âgés ≥ 65 ans ),1
"Le traitement par ziconotide doit être instauré à la dose de 2 , 4 µ g / jour et peut ensuite être adapté en fonction de la réponse analgésique du patient et de la survenue d ’ événements indésirables .",1
"Environ 75 % des patients répondant de façon satisfaisante au traitement nécessitent une posologie ≤ 9 , 6 μ g / jour .",1
"Le risque de méningite secondaire étant plus élevé lors de l ’ utilisation prolongée d ’ un cathéter sous - arachnoïdien avec système de perfusion externe , les systèmes implantés sont préconisés pour l ’ administration de ziconotide pendant des périodes prolongées .",1
Un système de cathéter externe ne sera utilisé que lorsqu ’ un système interne ne peut pas être implanté .,1
Prialt ne doit pas être utilisé chez l ’ enfant en dessous de 18 ans suite à un manque de données concernant la sécurité et l ’ efficacité .,1
"Bien que l ’ efficacité et la sécurité d ’ emploi à long terme du ziconotide ait été étudié au cours d ’ essais cliniques en ouvert , aucun essai contrôlé d ’ une durée supérieure à trois semaines n ’ a été réalisé ( voir rubrique 5 . 1 ) .",1
La possibilité d ’ effets toxiques locaux à long terme au niveau de la moelle épinière n ’ est pas exclue et les données précliniques disponibles sont limitées ( voir rubrique 5 . 3 ) .,1
La prudence s ’ impose donc lors d ’ un traitement au long cours .,1
Les patients et les médecins doivent être vigilants concernant l ’ apparition de symptômes et signes typiques de méningite .,1
Le positionnement intrathécal optimal du cathéter n ’ a pas été établi .,1
"Le positionnement du cathéter à un niveau plus bas , ex . au niveau lombaire , pourrait peut - être diminuer les réactions neurologiques indésirables liées au ziconotide .",1
Le positionnement du cathéter doit donc être évalué soigneusement pour permettre un accès adéquat aux segments nociceptifs rachidiens tout en diminuant les concentrations de médicament au niveau cérébral .,1
"Le nombre de patients ayant reçu une chimiothérapie systémique et le ziconotide par voie intrarachidienne étant faible , la prudence s",1
"Des élévations de la créatine phosphokinase ( CPK ) , généralement asymptomatiques , sont fréquentes chez les patients traités par ziconotide par voie intrarachidienne .",1
"Une élévation progressive de la créatine phosphokinase est , en revanche , peu fréquente .",1
Une surveillance des taux de créatine phosphokinase est toutefois recommandée .,1
"Des réactions indésirables cognitives et neuropsychiatriques , en particulier une confusion , ont été fréquemment décrites chez les patients sous ziconotide .",1
Les troubles cognitifs apparaissent typiquement après plusieurs semaines de traitement .,1
